Device_Names,Announced_Date,Features,Device_Url
Gigabyte GSmart Essence 4 Android smartphone, Announced Oct 2015," Features 4.0″  display, MT6572 chipset, 2 MP primary camera, 1300 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_essence_4-7703.php
Gigabyte GSmart Classic Lite Android smartphone, Announced Oct 2015," Features 5.0″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2100 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_classic_lite-7702.php
Gigabyte GSmart Essence Android smartphone, Announced Oct 2015," Features 4.5″  display, Spreadtrum SC7731 chipset, 5 MP primary camera, 2 MP front camera, 2000 mAh battery, 8 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_essence-7701.php
Gigabyte GSmart Classic Android smartphone, Announced Oct 2015," Features 5.0″  display, Spreadtrum SC7731 chipset, 8 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_classic-7700.php
Gigabyte GSmart Guru GX Android smartphone, Announced Jan 2015," Features 5.0″  display, Snapdragon 615 chipset, 13 MP primary camera, 5 MP front camera, 2300 mAh battery, 32 GB storage, 2 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/gigabyte_gsmart_guru_gx-6985.php
Gigabyte GSmart Mika MX Android smartphone, Announced Jan 2015," Features 5.0″  display, Snapdragon 410 chipset, 5 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_mika_mx-6988.php
Gigabyte GSmart Roma RX Android smartphone, Announced Jan 2015," Features 5.0″  display, MT6582 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_roma_rx-6989.php
Gigabyte GSmart Akta A4 Android smartphone, Announced Nov 2014," Features 5.0″  display, MT6592 chipset, 13 MP primary camera, 5 MP front camera, 1800 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_akta_a4-6832.php
Gigabyte GSmart Mika M3 Android smartphone, Announced Oct 2014," Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 8 MP front camera, 1900 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_mika_m3-6797.php
Gigabyte GSmart GX2 Android smartphone, Announced Aug 2014," Features 5.0″  display, Snapdragon 400 chipset, 13 MP primary camera, 2 MP front camera, 2200 mAh battery, 8 GB storage, 2 GB RAM",https://www.gsmarena.com/gigabyte_gsmart_gx2-6587.php
Gigabyte GSmart Guru (White Edition) Android smartphone, Announced Aug 2014," Features 5.0″  display, MT6589T chipset, 13 MP primary camera, 5 MP front camera, 3000 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/gigabyte_gsmart_guru_(white_edition)-6586.php
Gigabyte GSmart T4 (Lite Edition) Android smartphone, Announced Jul 2014," Features 4.0″  display, MT6572 chipset, 5 MP primary camera, 1300 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_t4_(lite_edition)-6585.php
Gigabyte GSmart Arty A3 Android smartphone, Announced Jul 2014," Features 5.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_arty_a3-6584.php
Gigabyte GSmart Mika M2 Android smartphone, Announced Jun 2014," Features 5.0″  display, MT6582 chipset, 13 MP primary camera, 5 MP front camera, 2000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_mika_m2-6583.php
Gigabyte GSmart T4 Android smartphone, Announced Apr 2014," Features 4.0″  display, MT6572 chipset, 8 MP primary camera, 1400 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_t4-6335.php
Gigabyte GSmart Saga S3 Android smartphone, Announced Apr 2014," Features 6.0″  display, MT6582 chipset, 8 MP primary camera, 2 MP front camera, 3000 mAh battery, 8 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_saga_s3-6334.php
Gigabyte GSmart Rey R3 Android smartphone, Announced Mar 2014," Features 4.5″  display, MT6572 chipset, 8 MP primary camera, 1800 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_rey_r3-6211.php
Gigabyte GSmart Guru Android smartphone, Announced Oct 2013," Features 5.0″  display, MT6589T chipset, 13 MP primary camera, 5 MP front camera, 2500 mAh battery, 32 GB storage, 2 GB RAM",https://www.gsmarena.com/gigabyte_gsmart_guru-5807.php
Gigabyte GSmart Alto A2 Android smartphone, Announced Oct 2013," Features 5.0″  display, MT6572 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_alto_a2-5809.php
Gigabyte GSmart Roma R2 Android smartphone, Announced Oct 2013," Features 4.0″  display, MT6572 chipset, 5 MP primary camera, 1400 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_roma_r2-5808.php
Gigabyte GSmart Aku A1 Android smartphone, Announced Jul 2013," Features 4.5″  display, MT6589 chipset, 5 MP primary camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_aku_a1-5610.php
Gigabyte GSmart Tuku T2 Android smartphone, Announced Jul 2013," Features 4.0″  display, Snapdragon S4 Play chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_tuku_t2-5611.php
Gigabyte GSmart Maya M1 v2 Android smartphone, Announced Jun 2013," Features 4.5″  display, MT6589 chipset, 8 MP primary camera, 2 MP front camera, 1700 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_maya_m1_v2-5551.php
Gigabyte GSmart Sierra S1 Android smartphone, Announced Jun 2013," Features 5.0″  display, MT6589 chipset, 13 MP primary camera, 2 MP front camera, 2000 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_sierra_s1-5516.php
Gigabyte GSmart Simba SX1 Android smartphone, Announced Jun 2013," Features 5.0″  display, Snapdragon 400 chipset, 13 MP primary camera, 2 MP front camera, 1900 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_simba_sx1-5515.php
Gigabyte GSmart Maya M1 Android smartphone, Announced Apr 2013," Features 4.5″  display, MT6577 chipset, 8 MP primary camera, 2 MP front camera, 1700 mAh battery, 4 GB storage, 1000 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_maya_m1-5401.php
Gigabyte GSmart Rio R1 Android smartphone, Announced Apr 2013," Features 4.0″  display, Snapdragon S4 Play chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_rio_r1-5400.php
Gigabyte GSmart GS202 Android smartphone, Announced Dec 2012," Features 4.3″  display, MT6577 chipset, 5 MP primary camera, 1500 mAh battery, 4 GB storage, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_gs202-5174.php
Gigabyte GSmart G1362 Android smartphone, Announced Aug 2012," Features 4.3″  display, Snapdragon S4 Play chipset, 5 MP primary camera, 1550 mAh battery, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1362-4935.php
Gigabyte GSmart G1355 Android smartphone, Announced Feb 2012," Features 4.3″  display, Snapdragon S1 chipset, 5 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1355-4547.php
Gigabyte GSmart G1345 Android smartphone, Announced Q2 2011," Features 3.5″  display, Snapdragon S1 chipset, 5 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1345-4190.php
Gigabyte GSmart G1342 Houston Android smartphone, Announced  2011," Features 3.5″  display, Snapdragon S1 chipset, 315 MP primary camera, 1500 mAh battery, 512 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1342_houston-4637.php
Gigabyte GSmart M3447 phone, Announced  2011," Features 2.4″  display, 2 MP primary camera, 900 mAh battery, 64 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_m3447-3763.php
Gigabyte GSmart G1310 Android smartphone, Announced Jan 2011," Features 3.2″  display, Snapdragon S1 chipset, 5 MP primary camera, 1260 mAh battery, 256 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1310-3720.php
Gigabyte GSmart G1317 Rola Android smartphone, Announced Nov 2010," Features 3.2″  display, Snapdragon S1 chipset, 315 MP primary camera, 1260 mAh battery, 256 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1317_rola-3694.php
Gigabyte GSmart G1315 Skate Android smartphone, Announced  2011," Features 3.5″  display, Snapdragon S1 chipset, 5 MP primary camera, 1260 mAh battery, 256 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1315_skate-3897.php
Gigabyte GSmart S1205 Windows Mobile smartphone, Announced Mar 2010," Features 3.2″  display, 315 MP primary camera, 1320 mAh battery, 128 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_s1205-3202.php
Gigabyte GSmart G1305 Boston Android smartphone, Announced Apr 2010," Features 3.2″  display, Snapdragon S1 chipset, 5 MP primary camera, 1230 mAh battery, 256 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_g1305_boston-3201.php
Gigabyte GSmart MS802 Windows Mobile smartphone, Announced Jun 2009," Features 2.8″  display, 315 MP primary camera, 1300 mAh battery, 128 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_ms802-2879.php
Gigabyte GSmart MW702 Windows Mobile smartphone, Announced Jun 2009," Features 2.8″  display, 315 MP primary camera, 1300 mAh battery, 128 MB RAM",https://www.gsmarena.com/gigabyte_gsmart_mw702-2880.php
